JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,
2459918.585416667, A.D. 2022-Dec-05 02:03:00.0000,  3.048174495776282E+05,  2.026522442801599E+05, -3.036700908437007E+03, -6.097587259790551E-01,  1.263212291470167E+00,  1.203645334910016E-01,
2459918.627083333, A.D. 2022-Dec-05 03:03:00.0000,  3.026108298622473E+05,  2.072154866203652E+05, -2.603616525331134E+03, -6.160516236244681E-01,  1.272127973806280E+00,  1.202227062270370E-01,
2459918.668750000, A.D. 2022-Dec-05 04:03:00.0000,  3.003825843985715E+05,  2.118131887502883E+05, -2.171219389482780E+03, -6.217547386420658E-01,  1.282398195428508E+00,  1.199790097319977E-01,
2459918.710416667, A.D. 2022-Dec-05 05:03:00.0000,  2.981350546778641E+05,  2.164507156260346E+05, -1.739921104859415E+03, -6.267405815923761E-01,  1.294306169232755E+00,  1.196070958996427E-01,
2459918.752083333, A.D. 2022-Dec-05 06:03:00.0000,  2.958711181842439E+05,  2.211345945002654E+05, -1.310245775082178E+03, -6.308358678560672E-01,  1.308219171180677E+00,  1.190700950009479E-01,
2459918.793750000, A.D. 2022-Dec-05 07:03:00.0000,  2.935943917885639E+05,  2.258728774935864E+05, -8.828771495489636E+02, -6.337981880999185E-01,  1.324624460772681E+00,  1.183149903389354E-01,
2459918.835416667, A.D. 2022-Dec-05 08:03:00.0000,  2.913095448658456E+05,  2.306756677775244E+05, -4.587324261748436E+02, -6.352767743191692E-01,  1.344186158671896E+00,  1.172630256704302E-01,
2459918.877083333, A.D. 2022-Dec-05 09:03:00.0000,  2.890228020110870E+05,  2.355559107886239E+05, -3.908277414110489E+01, -6.347430517318677E-01,  1.367839301911423E+00,  1.157924797568862E-01,
2459918.918750000, A.D. 2022-Dec-05 10:03:00.0000,  2.867427927081569E+05,  2.405306361067576E+05,  3.742393750166084E+02, -6.313597750660590E-01,  1.396953807399206E+00,  1.137057168681669E-01,
2459918.960416667, A.D. 2022-Dec-05 11:03:00.0000,  2.844821366488277E+05,  2.456233371237693E+05,  7.778583038628567E+02, -6.236653651358910E-01,  1.433934482153703E+00,  1.101148173251401E-01,
2459919.002083333, A.D. 2022-Dec-05 12:03:00.0000,  2.822602305916832E+05,  2.508676039500384E+05,  1.167793953621251E+03, -6.091552596869469E-01,  1.481652598902325E+00,  1.054199845493259E-01,
2459919.043750000, A.D. 2022-Dec-05 13:03:00.0000,  2.801103828699384E+05,  2.563119837496505E+05,  1.534850808979274E+03, -5.824601697370606E-01,  1.546639633561415E+00,  9.782592789091737E-02,
2459919.085416667, A.D. 2022-Dec-05 14:03:00.0000,  2.780959223377390E+05,  2.620385825711581E+05,  1.864756867661345E+03, -5.305349778948033E-01,  1.641436190640325E+00,  8.387389925000421E-02,
2459919.127083333, A.D. 2022-Dec-05 15:03:00.0000,  2.763672846681531E+05,  2.682002579834760E+05,  2.118438225509439E+03, -4.108793866438504E-01,  1.795963357726974E+00,  5.212685901344016E-02,
2459919.168750000, A.D. 2022-Dec-05 16:03:00.0000,  2.754687647764020E+05,  2.751290580728214E+05,  2.147772423733055E+03,  2.811863555895121E-02,  2.080038743162870E+00, -6.922176378077483E-02,
2459919.210416667, A.D. 2022-Dec-05 17:03:00.0000,  2.787994642013286E+05,  2.806268482791350E+05,  8.682367639270233E+02,  1.318035336810410E+00,  5.735430779213027E-02, -5.263425782848634E-01,
2459919.252083333, A.D. 2022-Dec-05 18:03:00.0000,  2.816813795972969E+05,  2.802010462039475E+05, -4.988031368103693E+02,  5.384672644061239E-01, -1.306833924039483E-01, -3.031846953949885E-01,
2459919.293750000, A.D. 2022-Dec-05 19:03:00.0000,  2.832734066013050E+05,  2.798075649091661E+05, -1.487759729205500E+03,  3.728560121128343E-01, -9.082580872265902E-02, -2.543106959398080E-01,
2459919.335416667, A.D. 2022-Dec-05 20:03:00.0000,  2.844675686550668E+05,  2.795277883359711E+05, -2.360459851038395E+03,  2.975391147328375E-01, -6.725942211546608E-02, -2.327773297175920E-01,
